artifact_type,path,role,sha256,tracked_by_git,git_commit,status
statistics,scripts/finalize_sixs_final_multiseed_replication.py,multiseed aggregation and molecule-cluster bootstrap,0c511f6180937e1d4e6ea7b9bcf64212444eaef2946f47f138576e51ebe7c904,YES,refs/tags/final-development-freeze-step1,ACTIVE_EVIDENCE_PROVENANCE
manifest,reports/ecir_mvr/sixs_musigma_reliability_factorial_cuda/DEV_MANIFEST.json,frozen development cohort identity,15db864fe34975a15e2319e1112eaa003f0d8f5e6a7c174be9b79e816c133a0b,YES,refs/tags/final-development-freeze-step1,ACTIVE_DEVELOPMENT_ONLY
manifest,E:/3dconformergenerationcode/4dadapter-v8/data/ecir_mvr/formal_large/real_sources/train.parquet,frozen TRAIN manifest,fbfeffab299c070fcbf29edb99277113c5641ee588000f00fc384162337ecb3d,NO,PATH_PLUS_SHA256,ACTIVE_EXTERNAL_DATA_IDENTITY
checkpoint,E:/3dconformergenerationcode/4dadapter-lsgoba-v2-softplus-seed307/artifacts/ecir_mvr/lsgoba_v2_softplus_seed307/checkpoints/step17500.ckpt,shared base initialization checkpoint,298b6cb248b614be832e7b8d6772a6d0d55e64488497ab3aa135b25e072b7219,NO,PATH_PLUS_SHA256,ACTIVE_INITIALIZATION
checkpoint,reports/ecir_mvr/sixs_j1r1_full_joint_adaptive_ba_movement_seed307/FINAL_CHECKPOINT.pt,Restricted seed307 authoritative endpoint,7c2bb67ad8e9065a5409ea8e6f5ce79e7790c21cda3005beabbd32762786ca96,NO,PATH_PLUS_SHA256,ACTIVE_OPERATING_POINT
checkpoint,reports/ecir_mvr/sixs_final_restricted_vs_unrestricted_multiseed/restricted_seed331/FINAL_CHECKPOINT.pt,Restricted seed331 authoritative endpoint,75cca7ffbe91b1ca702491945e50ec03c62bd33c2754c145847956ee7bba5002,NO,PATH_PLUS_SHA256,ACTIVE_OPERATING_POINT
checkpoint,reports/ecir_mvr/sixs_final_restricted_vs_unrestricted_multiseed/restricted_seed353/FINAL_CHECKPOINT.pt,Restricted seed353 authoritative endpoint,0230c122fee9890c62dc348de6687a19e8ec95d04b16478f15ea355075f97019,NO,PATH_PLUS_SHA256,ACTIVE_OPERATING_POINT
checkpoint,reports/ecir_mvr/sixs_reference_xtb_and_unrestricted_movement_seed307/02_UNRESTRICTED_MOVEMENT/FINAL_CHECKPOINT.pt,Unrestricted seed307 authoritative endpoint,f63e9d796cc82297f2f2d5fd732c35aa80421ce2f604f2ac80d823a9f825b704,NO,PATH_PLUS_SHA256,ACTIVE_OPERATING_POINT
checkpoint,reports/ecir_mvr/sixs_final_restricted_vs_unrestricted_multiseed/unrestricted_seed331/FINAL_CHECKPOINT.pt,Unrestricted seed331 authoritative endpoint,b9d655d14c7bc97dc6f54d1dd00e8bf84e40187cdf5d1518ffaaa517b69886af,NO,PATH_PLUS_SHA256,ACTIVE_OPERATING_POINT
checkpoint,reports/ecir_mvr/sixs_final_restricted_vs_unrestricted_multiseed/unrestricted_seed353/FINAL_CHECKPOINT.pt,Unrestricted seed353 authoritative endpoint,e3be9e2ecf4d633cb2e5f7e3fff4ffd94b38fda13a1412013afd5f4f07450bc6,NO,PATH_PLUS_SHA256,ACTIVE_OPERATING_POINT
reference_protocol,reports/ecir_mvr/sixs_reference_xtb_and_unrestricted_movement_seed307/01_CURRENT_FINAL_EVIDENCE/CORRESPONDENCE_AUDIT.json,Reference correspondence audit,f939da3ddaae4c1edbb6c7f22a51fc11e6bc5f7ee4f557f095faa556c65e9b33,YES,refs/tags/final-development-freeze-step1,ACTIVE
v3d_adapter,E:/3dconformergenerationcode/4dadapter-lsgo-v2/scripts/run_lsgo_standard_genbench3d.py,official project GenBench3D adapter,6ebc450b4f841a9f6a3b463b7838e50bc2951e92570146cd0a473abbfd970450,NO,PATH_PLUS_SHA256,ACTIVE_EXTERNAL
dependency_repository,E:/miniconda/envs/external-validity/src/genbench3d,GenBench3D source repository identity,0926bc6614509aa10ccf6f69da0405d4be6af6b3,YES,0926bc6614509aa10ccf6f69da0405d4be6af6b3,ACTIVE_EXTERNAL
v3d_reference,E:/3dconformergenerationcode/external_data/genbench3d_official/ligboundconf_minimized/S2_LigBoundConf_minimized.sdf,GenBench3D LigBoundConf reference SDF,15e8e4635525f3d9452292e86995d28f6c24eb50baad661eb4c2665274d00fe2,NO,PATH_PLUS_SHA256,ACTIVE_EXTERNAL_DATA
v3d_reference,E:/3dconformergenerationcode/4dadapter-lsgo-v2/reports/ecir_mvr/lsgo_standard_eval/genbench3d_reference_cache/LigBoundConf_geometry_values.p,GenBench3D frozen reference geometry values,63659acddd04017a4b8fc5f2df767540e48cd36a7849e578ddb6caf6130deadc,NO,PATH_PLUS_SHA256,ACTIVE_EXTERNAL_DATA
v3d_reference,E:/3dconformergenerationcode/4dadapter-lsgo-v2/reports/ecir_mvr/lsgo_standard_eval/genbench3d_reference_cache/LigBoundConf_geometry_kernel_densities.p,GenBench3D frozen reference kernels,6c098fa5b10c85f12db49df3a35efa33963fc222754e5d2a9d0b64e61c604a19,NO,PATH_PLUS_SHA256,ACTIVE_EXTERNAL_DATA
posebusters_config,E:/miniconda/envs/external-validity/Lib/site-packages/posebusters/config/mol_fast.yml,PoseBusters selected protocol configuration,e263264cfbfd9c3764856c093a3a27e6c656826c388851600ee1eadf3ab09cf8,NO,PATH_PLUS_SHA256,ACTIVE_EXTERNAL
xtb_executable,E:/tools/xtb/6.7.1-linux-x86_64/bin/xtb,xTB 6.7.1 executable,debf27a9e0fa4bfb5ca75aafe4b90d8211f08ec2f4a482f375a4987212eaa12a,NO,PATH_PLUS_SHA256,ACTIVE_EXTERNAL
audit,reports/ecir_mvr/sixs_final_restricted_vs_unrestricted_multiseed/FINAL_STATUS.json,completed multiseed status and artifact hashes,23b6335f8953836fe4fd2d8d8392133fb765be637677ac4b318035275b9fff3f,YES,refs/tags/final-development-freeze-step1,ACTIVE_EVIDENCE
audit,reports/ecir_mvr/sixs_final_restricted_vs_unrestricted_multiseed/12_MULTISEED_INTEGRITY_AUDIT.md,multiseed integrity gate,8883c535f8aeeda4c1d761d5018adad8e95202cc275180569815d39c25b5ffb0,YES,refs/tags/final-development-freeze-step1,ACTIVE_EVIDENCE
audit,reports/ecir_mvr/sixs_final_restricted_vs_unrestricted_multiseed/13_FINAL_FORMULATION_DECISION.md,two-operating-point formulation conclusion,31af2340739d31c9a57a14f3ebe2f111894f892edd4d085cdc5363a45e454c69,YES,refs/tags/final-development-freeze-step1,ACTIVE_EVIDENCE
audit,reports/ecir_mvr/post_multiseed_remaining_work_audit/FINAL_POST_MULTISEED_STATUS.json,development-complete and remaining-work gate,4410144713b31a7b04acecd854f724458394c7d7acf90dd859348607d4448f33,YES,refs/tags/final-development-freeze-step1,ACTIVE_EVIDENCE
protocol,reports/ecir_mvr/full_paper_experiment_evidence_matrix_audit/FINAL_TEST_METRIC_PLAN.md,pre-freeze outcome-blind final metric plan,44d284459287773a8b6268819d0fd4b515809d4c9075aa4e97c100e9471ab1e5,YES,refs/tags/final-development-freeze-step1,ACTIVE_EVIDENCE
historical_metadata,reports/ecir_mvr/sixs_j1r1_full_joint_adaptive_ba_movement_seed307/IMPLEMENTATION_CONFIG.json,Restricted seed307 executed hash record,bf1ba5758b065d45362d77baf72ce8fb4142d499c914e5059ce340e9c54cfacb,YES,refs/tags/final-development-freeze-step1,HISTORICAL_ONLY
historical_metadata,reports/ecir_mvr/sixs_reference_xtb_and_unrestricted_movement_seed307/02_UNRESTRICTED_MOVEMENT/IMPLEMENTATION_CONFIG.json,Unrestricted seed307 executed hash record,1410ba051b34d274980b0e9a1e4e20714306c808a30e196f1cfb893d3101be01,YES,refs/tags/final-development-freeze-step1,HISTORICAL_ONLY
