condition,stage,molecule_id,sample_id,flex_bin,rotatable_bond_count,force_norm_hartree_per_bohr,B_fraction,A_fraction,T_fraction,BA_union_fraction,BAT_union_fraction,BAT_incremental_fraction,B_projection_norm,A_projection_norm,T_projection_norm,BA_projection_norm,BAT_projection_norm,B_rank,A_rank,T_rank,BA_rank,BAT_rank,B_dropped_rows,A_dropped_rows,T_dropped_rows
Source,before,COc1cccc(C(C(=O)NC2CCCC2)N(CC2CCCO2)C(=O)Cc2cccs2)c1,train::COc1cccc(C(C(=O)NC2CCCC2)N(CC2CCCO2)C(=O)Cc2cccs2)c1__gen0000,high_ge_5,10,0.07444823437413635,0.9552660073413765,0.8249225388660226,0.30898789967066204,0.9976238126035201,0.9999919618160119,0.0023681492124918244,0.07111786760419625,0.06141402651400525,0.023003603573453574,0.07427133141792634,0.07444763594553086,67,110,10,174,184,0,0,0
Source,before,COc1ccc(C(=O)N_C(=C\c2ccccc2)C(=O)NCc2cccnc2)cc1,train::COc1ccc(C(=O)N_C(=C\c2ccccc2)C(=O)NCc2cccnc2)cc1__gen0000,high_ge_5,8,0.06199883805501745,0.9821729595689713,0.7483920200307456,0.1771246453057414,0.9998348365032674,0.9999974858115694,0.00016264930830205303,0.06089358226233386,0.04639943565155357,0.010981522199863068,0.061988598110130924,0.061998682178256104,52,81,8,133,141,0,0,0
Source,before,Cc1ccc(CNC(=O)CSc2nc3ccsc3c(=O)n2Cc2ccc(C(=O)O)cc2)cc1,train::Cc1ccc(CNC(=O)CSc2nc3ccsc3c(=O)n2Cc2ccc(C(=O)O)cc2)cc1__gen0000,high_ge_5,9,0.07884940445791414,0.977660176365455,0.7355483009297663,0.14884548737170014,0.999519626337535,0.9999826860677901,0.00046305973025508837,0.07708792266863543,0.05799754547834268,0.011736378035506536,0.0788115272807115,0.07884803926467056,57,90,9,145,154,0,0,0
BA_seed181,after,O=C(Nc1ccc2c(c1)OCO2)c1ccc(=O)[nH]n1,train::O=C(Nc1ccc2c(c1)OCO2)c1ccc(=O)[nH]n1__gen0000,low_0_2,2,0.05884556356987313,0.9883756101495259,0.755912360118315,0.04706178209687275,0.9999924775365235,0.9999986252891225,6.147752598983324e-06,0.05816151979796607,0.04448208884059514,0.002769377090093043,0.05884512090627043,0.0588454826742368,30,47,2,75,77,0,0,0
BA_seed181,after,O=C(NC1=NC2CCCCC2N1)c1ccccc1,train::O=C(NC1=NC2CCCCC2N1)c1ccccc1__gen0000,low_0_2,2,0.04956427771875817,0.9340320179640823,0.8344846488069334,0.07679185204974756,0.9999660370382737,0.9999972909254866,3.125388721281918e-05,0.04629462233658389,0.04136062888550723,0.003806132681531477,0.049562594369091016,0.04956414344543662,37,61,2,96,98,0,0,0
BA_seed181,after,O=C(Cn1nnc2ccccc2c1=O)N1CCOCC1,train::O=C(Cn1nnc2ccccc2c1=O)N1CCOCC1__gen0000,low_0_2,2,0.06492132457111789,0.9755509877290549,0.7168133974439066,0.06610242667563168,0.9999912468311495,0.9999922780321489,1.0312009992998093e-06,0.06333406231003262,0.04653647523238159,0.0042914570971472055,0.06492075630380192,0.0649208232507367,36,58,2,93,95,0,0,0
BA_seed181,after,Nc1c2c(nc3ccn(-c4ccccc4)c(=O)c13)CCCCC2,train::Nc1c2c(nc3ccn(-c4ccccc4)c(=O)c13)CCCCC2__gen0000,low_0_2,2,0.06354193177116339,0.9768338320570068,0.8088310759132106,0.04543632631930555,0.999670672958784,1.0000000000000002,0.00032932704121625537,0.06206990870833041,0.0513946890400739,0.002887111946913629,0.06352100569478004,0.0635419317711634,45,74,2,118,120,0,0,0
BA_seed181,after,O=C(c1cnn2cccnc12)N1CCN(c2ccccc2)CC1,train::O=C(c1cnn2cccnc12)N1CCN(c2ccccc2)CC1__gen0000,low_0_2,2,0.07530093734282439,0.9734657098587359,0.8210792665400806,0.08297229718419734,0.9999959334822703,0.9999968991484247,9.656661543387579e-07,0.07330288042346074,0.061828038403226815,0.0062478917514574486,0.07530063113022763,0.07530070384579421,43,70,2,111,113,0,0,0
BA_seed181,after,O=C(c1ccc2c(c1)OCO2)N1CCCc2ccccc21,train::O=C(c1ccc2c(c1)OCO2)N1CCCc2ccccc21__gen0000,low_0_2,1,0.02636344158342284,0.9112410079438112,0.8199609646374858,0.03658190263419256,0.9999951555615063,0.9999952843020227,1.287405163156069e-07,0.024023449081346016,0.021616992991907398,0.0009644248531069976,0.026363313867351607,0.026363317261394688,39,64,1,100,101,0,0,0
BA_seed181,after,O=C(c1ccc(F)cc1)N1CCN(c2cnn(-c3ccccc3)c(=O)c2Cl)CC1,train::O=C(c1ccc(F)cc1)N1CCN(c2cnn(-c3ccccc3)c(=O)c2Cl)CC1__gen0000,medium_3_4,3,0.050546555392272506,0.9666088770073135,0.8503089798934523,0.1152462200977586,0.9999638709634735,0.9999987612321171,3.489026864355109e-05,0.04885874914431249,0.04298018995273112,0.005825299447921384,0.05054472919392645,0.05054649277682309,50,81,3,131,134,0,0,0
BA_seed181,after,O=C(NCc1ccccn1)c1cnc2sccn2c1=O,train::O=C(NCc1ccccn1)c1cnc2sccn2c1=O__gen0000,medium_3_4,3,0.03985920137320164,0.9202504446749792,0.7857852273961596,0.1990756433829368,0.9999917038717148,0.9999996822324143,7.978360699502939e-06,0.03668044778807835,0.03132077161487057,0.007934996158100154,0.0398588706961537,0.03985918870723945,32,50,3,80,83,0,0,0
BA_seed181,after,Cc1ccc(NC(=O)N2CCCC2c2cccs2)cc1,train::Cc1ccc(NC(=O)N2CCCC2c2cccs2)cc1__gen0000,medium_3_4,3,0.027343159799283038,0.9149881916628178,0.8361064549710402,0.09611030634880764,0.9999484255672195,0.999977250630326,2.8825063106614446e-05,0.02501866833909344,0.0228617924074852,0.0026279594648534943,0.027341749591325962,0.02734253775963271,40,65,3,103,106,0,0,0
BA_seed181,after,O=C(NCc1ccco1)c1sc2cc(F)ccc2c1Cl,train::O=C(NCc1ccco1)c1sc2cc(F)ccc2c1Cl__gen0000,medium_3_4,3,0.036255385218802214,0.9551269405422865,0.8313731186184355,0.12006762941332824,0.9999869948016404,0.9999978127552616,1.081795362115343e-05,0.034628495162216597,0.030141752676068327,0.004353098156688603,0.03625491371032584,0.036255305919401654,31,49,3,77,80,0,0,0
BA_seed181,after,COc1cccc(_C=C2\SC(=S)N(N3C(=O)CCCC3=O)C2=O)c1,train::COc1cccc(_C=C2\SC(=S)N(N3C(=O)CCCC3=O)C2=O)c1__gen0000,medium_3_4,4,0.040021850151341014,0.945734393382701,0.8421836524070457,0.1982407781489094,0.9999982970397672,0.9999992679641871,9.709244199512058e-07,0.037850040174931855,0.03370574793654385,0.00793396271696089,0.04002178199572176,0.040021820853913405,40,64,4,103,107,0,0,0
BA_seed181,after,CCN1CCN(c2nnc(-c3ccccc3)c3ccccc23)CC1,train::CCN1CCN(c2nnc(-c3ccccc3)c3ccccc23)CC1__gen0000,medium_3_4,4,0.04489077639926386,0.9333564478834323,0.7958675456550629,0.10304466644051921,0.9999947893160757,0.9999999999999996,5.210683923854667e-06,0.04189909560274633,0.03572711203543235,0.0046257550803180765,0.044890542487616925,0.04489077639926384,49,80,4,128,132,0,0,0
BA_seed181,after,CCOC(=O)C1=C(N)Oc2ccc(Br)cc2C1C(C#N)C(=O)OCC,train::CCOC(=O)C1=C(N)Oc2ccc(Br)cc2C1C(C#N)C(=O)OCC__gen0000,high_ge_5,10,0.04451458241918936,0.9497189805306472,0.8879471200601174,0.3966781104121819,0.9996065193976534,0.9999369845006281,0.00033046510297455564,0.04227634383389999,0.03952659525979793,0.017657960439831366,0.044497066794485854,0.04451177731054888,43,67,10,109,119,0,0,0
BA_seed181,after,CCc1c(C(=O)N_N=C_c2cn[nH]c2-c2ccc(F)cc2)csc1C,train::CCc1c(C(=O)N_N=C_c2cn[nH]c2-c2ccc(F)cc2)csc1C__gen0000,high_ge_5,7,0.03953972144520454,0.9202815764210615,0.811635724321233,0.21860550783726773,0.9995617954079834,0.9999963057114083,0.0004345103034248957,0.036387677182842484,0.032091850454638374,0.008643600886273044,0.03952239495770019,0.039539575374062684,44,69,7,111,118,0,0,0
BA_seed181,after,O=C(NC1CCCCC1)C(c1cccnc1)N(C(=O)c1csnn1)c1ccccc1,train::O=C(NC1CCCCC1)C(c1cccnc1)N(C(=O)c1csnn1)c1ccccc1__gen0000,high_ge_5,6,0.06264731029348622,0.967957759723927,0.739527766929472,0.15415546553272075,0.9999324646837957,0.999999699299353,6.72346155572486e-05,0.06063995012441263,0.04632942548547959,0.009657425282665177,0.0626430793875762,0.06264729145539948,56,90,6,145,151,0,0,0
BA_seed181,after,COc1cccc(C(C(=O)NC2CCCC2)N(CC2CCCO2)C(=O)Cc2cccs2)c1,train::COc1cccc(C(C(=O)NC2CCCC2)N(CC2CCCO2)C(=O)Cc2cccs2)c1__gen0000,high_ge_5,10,0.05222777917961891,0.9178755008402832,0.8392275883520155,0.35773321124841934,0.9951431057081803,0.9999832597267146,0.00484015401853437,0.047938598972268424,0.04383099316589319,0.01868361116229841,0.051974114377047,0.05222690487232236,67,110,10,174,184,0,0,0
BA_seed181,after,COc1ccc(C(=O)N_C(=C\c2ccccc2)C(=O)NCc2cccnc2)cc1,train::COc1ccc(C(=O)N_C(=C\c2ccccc2)C(=O)NCc2cccnc2)cc1__gen0000,high_ge_5,8,0.047056723764338004,0.9748268144038814,0.7549009739932392,0.1700289044840775,0.9997189753679308,0.9999966544566387,0.00027767908870790265,0.04587215612347304,0.035523166602629566,0.008001003190260246,0.04704349966585575,0.04705656633402821,52,81,8,133,141,0,0,0
BA_seed181,after,Cc1ccc(CNC(=O)CSc2nc3ccsc3c(=O)n2Cc2ccc(C(=O)O)cc2)cc1,train::Cc1ccc(CNC(=O)CSc2nc3ccsc3c(=O)n2Cc2ccc(C(=O)O)cc2)cc1__gen0000,high_ge_5,9,0.04822781256673772,0.9507221501628355,0.7361127520647619,0.14085085550979415,0.998716790676336,0.9999531288866861,0.0012363382103501436,0.0458512496610991,0.03550110783456481,0.006792928659391009,0.04816592618799216,0.048225552075470024,57,90,9,145,154,0,0,0
